epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21894,1.47979,5.01418,1.07593,0,0,0,0,0.96427,4.30336,0.90732,4.734e-05,4.734e-05,4.734e-05
2,4.65756,1.12539,4.24384,0.9704,0.26101,0.58802,0.3334,0.24828,0.81742,4.10927,0.85461,9.79612e-05,9.79612e-05,9.79612e-05
3,6.67049,1.1006,2.89625,0.956,0.09822,0.86277,0.36398,0.22336,0.84789,3.85367,0.83913,0.000146499,0.000146499,0.000146499
4,8.65359,1.05729,2.30665,0.96778,0.06615,0.92684,0.45946,0.31007,0.87819,3.63455,0.85844,0.000192955,0.000192955,0.000192955
5,10.6491,0.99588,2.04156,0.95413,0.07621,0.91732,0.59479,0.41615,0.80343,3.42817,0.8557,0.000237327,0.000237327,0.000237327
6,12.6306,0.98297,1.716,0.93108,0.07571,0.87633,0.68588,0.49775,0.77417,3.25935,0.84419,0.000279616,0.000279616,0.000279616
7,14.6126,0.90829,1.54172,0.90649,0.07973,0.88961,0.80269,0.62483,0.77048,3.00798,0.86844,0.000319823,0.000319823,0.000319823
8,16.6076,0.85341,1.41983,0.90714,0.08049,0.9026,0.88583,0.74527,0.69038,2.76812,0.87322,0.000357946,0.000357946,0.000357946
9,18.5904,0.82393,1.28505,0.8966,1,0.63848,0.89643,0.75924,0.73794,2.45846,0.8904,0.000393987,0.000393987,0.000393987
10,20.5867,0.94827,1.29783,0.92847,1,0.76168,0.90193,0.7607,0.76377,1.88174,0.90501,0.000427944,0.000427944,0.000427944
11,22.5741,0.88785,1.18008,0.90951,0.98953,0.82732,0.91381,0.76633,0.75439,1.67072,0.89882,0.000421852,0.000421852,0.000421852
12,24.5676,0.85022,1.10272,0.9039,0.98369,0.85065,0.9176,0.77806,0.69675,1.31836,0.88815,0.000411437,0.000411437,0.000411437
13,26.5531,0.81274,1.0524,0.90869,0.98034,0.8865,0.92192,0.77919,0.72312,1.13379,0.89084,0.000401022,0.000401022,0.000401022
14,28.5691,0.79558,0.99,0.88725,0.98124,0.9026,0.92405,0.79984,0.67828,0.92832,0.88445,0.000390608,0.000390608,0.000390608
15,30.5561,0.78933,0.99709,0.89641,0.96242,0.9026,0.92354,0.78059,0.71402,0.91352,0.87838,0.000380193,0.000380193,0.000380193
16,32.5393,0.77549,0.97546,0.9007,0.98719,0.9206,0.92736,0.8038,0.62753,0.72442,0.85501,0.000369778,0.000369778,0.000369778
