epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.39488,0.65247,0.77842,0.85817,0.99782,0.92684,0.92751,0.83858,0.54385,0.46698,0.82451,4.734e-05,4.734e-05,4.734e-05
2,4.51448,0.61422,0.72681,0.85334,0.99634,0.92684,0.92773,0.84092,0.51787,0.46904,0.81712,9.85266e-05,9.85266e-05,9.85266e-05
3,6.58197,0.63807,0.76021,0.85336,0.99403,0.92684,0.92736,0.83039,0.51873,0.46602,0.81988,0.000148225,0.000148225,0.000148225
4,8.62646,0.64543,0.76334,0.85786,0.99808,0.92684,0.9284,0.83926,0.51094,0.48562,0.82513,0.000196436,0.000196436,0.000196436
5,10.661,0.69716,0.80768,0.8753,0.99639,0.92684,0.9286,0.80794,0.59898,0.49942,0.8446,0.000243159,0.000243159,0.000243159
6,12.6847,0.70051,0.77815,0.86444,0.99862,0.92258,0.92879,0.82106,0.55094,0.48819,0.82418,0.000288395,0.000288395,0.000288395
7,14.699,0.65334,0.74923,0.85961,0.99591,0.9262,0.92939,0.82041,0.59767,0.51324,0.839,0.000332142,0.000332142,0.000332142
8,16.708,0.6367,0.74882,0.86003,0.99736,0.92684,0.93075,0.82276,0.53882,0.48918,0.8384,0.000374402,0.000374402,0.000374402
9,18.7169,0.62314,0.75168,0.86267,0.99487,0.92604,0.93093,0.81813,0.55867,0.50058,0.83824,0.000415173,0.000415173,0.000415173
10,20.7353,0.69185,0.76993,0.87544,0.99501,0.92584,0.93015,0.84107,0.51203,0.47096,0.82654,0.000454457,0.000454457,0.000454457
11,22.731,0.63672,0.73297,0.85277,0.99322,0.92591,0.93022,0.82405,0.57256,0.48472,0.83946,0.000451609,0.000451609,0.000451609
12,24.7316,0.61911,0.70222,0.85289,0.99443,0.9261,0.9291,0.83467,0.54113,0.47621,0.82742,0.000444169,0.000444169,0.000444169
13,26.7516,0.58676,0.68517,0.85439,0.99516,0.92588,0.92912,0.81344,0.59672,0.48247,0.83509,0.00043673,0.00043673,0.00043673
14,28.8138,0.59293,0.68514,0.84216,0.99538,0.9258,0.92865,0.79394,0.63725,0.494,0.84603,0.000429291,0.000429291,0.000429291
15,30.8059,0.61564,0.70444,0.84814,0.99658,0.92633,0.92852,0.81474,0.56767,0.47995,0.83788,0.000421852,0.000421852,0.000421852
16,32.8226,0.59198,0.69227,0.85571,0.99454,0.92572,0.9284,0.81327,0.60613,0.50163,0.84281,0.000414413,0.000414413,0.000414413
17,34.8125,0.60811,0.69185,0.86467,0.97947,0.92657,0.92882,0.82887,0.53851,0.49397,0.83049,0.000406974,0.000406974,0.000406974
18,36.8129,0.58349,0.66721,0.84496,0.99634,0.92658,0.92981,0.84253,0.54382,0.48804,0.83087,0.000399535,0.000399535,0.000399535
19,38.8349,0.58878,0.65832,0.84631,0.99697,0.92684,0.92998,0.83881,0.53243,0.49194,0.82823,0.000392095,0.000392095,0.000392095
20,40.8412,0.59972,0.68351,0.85955,0.99528,0.92684,0.92915,0.83715,0.49997,0.46296,0.82871,0.000384656,0.000384656,0.000384656
21,42.8539,0.62659,0.6489,0.85656,0.99718,0.92684,0.92913,0.82259,0.53385,0.47961,0.82934,0.000377217,0.000377217,0.000377217
22,44.8709,0.5768,0.66702,0.84527,0.99578,0.92684,0.92946,0.83022,0.54276,0.47374,0.83038,0.000369778,0.000369778,0.000369778
23,46.9007,0.59044,0.66888,0.85002,0.99411,0.92684,0.92838,0.82087,0.54349,0.46992,0.82859,0.000362339,0.000362339,0.000362339
24,48.9187,0.55936,0.6641,0.8465,0.99495,0.92624,0.92817,0.84367,0.52276,0.47335,0.82625,0.0003549,0.0003549,0.0003549
25,50.9459,0.58332,0.6506,0.83856,0.99538,0.92675,0.92778,0.83662,0.51601,0.46732,0.82934,0.000347461,0.000347461,0.000347461
26,52.9609,0.60875,0.66173,0.85568,0.99648,0.92684,0.92772,0.8422,0.50402,0.47117,0.8256,0.000340021,0.000340021,0.000340021
27,54.9693,0.60403,0.67986,0.85261,0.996,0.92684,0.92771,0.83824,0.51583,0.46531,0.8264,0.000332582,0.000332582,0.000332582
28,56.9865,0.54122,0.61526,0.82698,0.996,0.92684,0.92803,0.82732,0.55144,0.45791,0.82884,0.000325143,0.000325143,0.000325143
29,58.9916,0.53305,0.60651,0.83422,0.99497,0.92684,0.92844,0.83277,0.51791,0.45127,0.82233,0.000317704,0.000317704,0.000317704
